pincode,district,state_name,state_code
754214,Kendrapara,Odisha,OD
754215,Kendrapara,Odisha,OD
754216,Kendrapara,Odisha,OD
754217,Kendrapara,Odisha,OD
754218,Kendrapara,Odisha,OD
754219,Kendrapara,Odisha,OD
754220,Kendrapara,Odisha,OD
754221,Cuttack,Odisha,OD
754222,Kendrapara,Odisha,OD
754223,Kendrapara,Odisha,OD
754224,Kendrapara,Odisha,OD
754225,Kendrapara,Odisha,OD
754227,Kendrapara,Odisha,OD
754228,Kendrapara,Odisha,OD
754231,Kendrapara,Odisha,OD
754239,Kendrapara,Odisha,OD
754240,Kendrapara,Odisha,OD
754244,Kendrapara,Odisha,OD
754245,Kendrapara,Odisha,OD
754246,Kendrapara,Odisha,OD
754248,Kendrapara,Odisha,OD
754250,Kendrapara,Odisha,OD
754253,Kendrapara,Odisha,OD
754289,Kendrapara,Odisha,OD
754290,Cuttack,Odisha,OD
754292,Jajapur,Odisha,OD
754293,Cuttack,Odisha,OD
754294,Jagatsinghapur,Odisha,OD
754295,Cuttack,Odisha,OD
754296,Jajapur,Odisha,OD
755001,Jajapur,Odisha,OD
755003,Jajapur,Odisha,OD
755004,Jajapur,Odisha,OD
755005,Jajapur,Odisha,OD
755006,Jajapur,Odisha,OD
755007,Jajapur,Odisha,OD
755008,Jajapur,Odisha,OD
755009,Jajapur,Odisha,OD
755010,Jajapur,Odisha,OD
755011,Jajapur,Odisha,OD
755012,Jajapur,Odisha,OD
755013,Jajapur,Odisha,OD
755014,Jajapur,Odisha,OD
755015,Jajapur,Odisha,OD
755016,Jajapur,Odisha,OD
755017,Jajapur,Odisha,OD
755018,Jajapur,Odisha,OD
755019,Jajapur,Odisha,OD
755020,Jajapur,Odisha,OD
755022,Jajapur,Odisha,OD
755023,Jajapur,Odisha,OD
755024,Jajapur,Odisha,OD
755025,Jajapur,Odisha,OD
755026,Jajapur,Odisha,OD
755027,Jajapur,Odisha,OD
755028,Jajapur,Odisha,OD
755036,Jajapur,Odisha,OD
755043,Jajapur,Odisha,OD
755044,Jajapur,Odisha,OD
755049,Jajapur,Odisha,OD
755050,Jajapur,Odisha,OD
755061,Kendrapara,Odisha,OD
755062,Jajapur,Odisha,OD
