pincode,lat,lng
D301308,27.2093072,79.0625369
D197112,30.9635733,78.6362521
488051,24.4498931,80.1462723
431806,19.0942729,77.4832628
135103,30.2158611,77.3256507
D331294,25.4552211,73.419389
D896586,20.0638677,78.3565663
794111,25.6184946,90.6342162
202001,27.8761073,78.1358153
743438,22.7483803,88.7425195
D968680,25.0977098,88.1261713
D169177,25.9182947,78.6644962
D523472,25.6065343,90.2038335
D836663,26.3533632,91.3983662
590001,15.875829,74.5170393
D857972,34.2889322,75.0407983
D267452,24.3159312,87.2720833
D952324,26.3518828,78.6863189
191132,34.0016694,74.7936869
D309783,23.1150041,77.0665356
D370250,19.5457038,78.6086759
788119,24.75864,92.8816648
767017,20.8535784,83.8529159
758001,21.5892323,85.6687841
851213,25.4930513,86.6982264
D649160,25.723641,92.0426339
D404179,23.3002343,81.364771
D655706,23.2230231,79.9825642
784125,26.4373481,92.0047145
586101,16.8084044,75.7175058
814114,24.3284257,86.7182506
228141,26.2604732,82.2380532
224188,26.75,82.0
825316,23.693479,85.5215989
307001,24.8114047,72.8300257
D556250,26.6464231,90.624157
845437,26.583333,84.833333
841241,26.131008,84.3910745
D191344,21.5197916,86.8790638
325218,24.9208165,76.6821985
D728927,27.7343823,81.47654
533464,16.7385032,82.2106199
D690011,26.1048633,79.3919136
D163852,23.50222,74.9551534
D959576,14.7180268,75.3656423
813102,24.8328273,86.8161114
D904225,22.8251395,71.6209736
798621,26.666667,95.0
D912916,17.9375095,78.211745
784505,26.7677707,92.7014089
852221,25.8330757,86.6143751
323001,25.4367659,75.7361471
841440,26.4211166,84.3739133
D146661,33.2663678,74.343847
322024,26.2290186,76.3043561
328031,26.6530332,77.6241037
854202,25.7806118,86.9364753
742169,24.2904032,88.366432
246762,29.4074203,78.4821406
D532364,27.0755504,77.8753832
D837649,19.918833,75.8708599
D809540,18.7248422,78.1921833
803109,25.1250741,85.8160771
D797660,26.4585639,79.8548052
D576228,20.2874178,77.2369655
D727621,25.3933697,94.1501773
244001,28.8796553,78.8095335
781137,26.1468861,91.2227397
D408343,33.3332892,75.1984763
326039,24.3132368,76.5221078
441804,21.1225869,79.794509
D340613,23.8463004,77.8370209
D130094,22.3600119,87.4111505
D469416,21.4176122,71.249609
731216,24.0621532,87.6982823
781300,26.345941,91.039708
185101,33.7670004,74.0957143
D625702,25.75,80.0
794102,25.347969,90.5657773
481102,21.8611589,80.3237105
D919044,27.0,84.5
244221,28.8650459,78.4696233
443102,20.8870258,76.2025073
822123,24.2212983,84.1725565
D920456,21.9156338,86.3961824
795006,24.3095833,93.675022
783362,26.0491877,90.6001859
D581407,26.2768089,86.7959614
793119,25.5814429,91.0851094
741123,23.4847374,88.5567067
203001,28.3874073,77.9743805
273001,26.6677977,83.3642334
D147530,25.1543938,86.1744959
487110,22.916667,79.166667
D951435,25.8749595,84.1210329
458883,23.8716707,76.7744703
851127,25.5125411,86.0883392
243001,28.4582345,79.4047452
484330,23.0346179,81.7510255
D552859,28.7934728,79.1845806
D415026,27.1763356,94.1992932
782141,26.3313646,92.7524763
782105,26.2540561,92.3604704
D516392,20.2393682,85.050728
D988234,25.2892459,73.8241077
D466715,24.6305517,75.1829
461005,22.6503147,77.7509281
D997854,26.8387083,82.5350919
787059,27.5945155,94.7192098
781372,26.6275689,91.3388551
D231483,19.4426698,83.5873053
804420,25.1529579,85.0065043
783349,26.132275,90.1249962
811314,24.7562514,86.3011128
221003,25.3719338,82.9414272
D419945,25.7758723,87.4087667
D335855,24.5828196,92.3725487
D280075,24.2628148,75.385692
385340,23.773753,71.6798581
733124,25.385807,88.5063362
455223,22.8057498,76.2940408
793151,25.5,92.25
210421,25.3615938,79.706011
735302,26.6262805,88.7334485
389175,23.0,74.0
441807,21.1456285,80.2683867
470001,23.8083076,78.758254
224227,26.5093135,82.6138656
431122,18.9892401,75.7526696
D763704,28.116667,80.716667
783360,26.4912104,90.1215209
241001,27.3369978,80.0998232
496111,22.2361795,83.3529534
759123,20.8444035,85.1137498
207001,27.5550357,78.5992221
752002,19.8343066,85.6853295
D195091,27.5026748,80.8335139
D913218,27.1941954,78.4604956
847224,26.3503076,86.2296424
D780233,22.5786572,75.2258637
272192,27.2511724,82.8716528
D563785,19.2901981,76.6026443
D622904,19.1191283,81.8291865
D107542,19.5431163,77.1739432
848505,25.5586421,87.6457196
193502,34.566667,74.75
843314,26.5712894,85.6001549
D688159,20.1801473,86.3414874
D319295,24.053577,83.6526818
D579372,21.0684425,80.7970779
D711895,26.0390905,83.4985846
788161,24.5076094,92.6267589
D214617,23.25,87.75
D400421,25.7967065,82.4888992
D903909,20.8351494,85.6022305
755008,20.9027962,86.1539076
D503810,24.2112687,81.7000415
824231,24.679389,85.0115833
D189961,26.2651013,87.3699437
D343352,18.7232023,82.6100596
D511120,24.4148159,83.0637517
212600,25.8348023,80.9154547
821101,25.0402736,83.6076361
284403,24.6999688,78.51862
D669852,23.4770044,84.6986684
D193421,26.2984144,87.9466715
D306068,24.5001772,77.2600959
D942323,24.5423802,85.69301
271003,27.1103723,81.9238906
D417644,23.6723053,73.8166419
274001,26.4239911,83.7638578
D428839,25.4501182,84.5635193
274305,26.9242612,83.8324465
D515353,26.0829899,86.0324951
272175,26.755082,83.0398545
193224,34.5140696,74.191367
843329,26.4934234,85.2717561
493551,21.1922846,82.4890263
242307,27.9128583,79.7476254
761111,19.6090068,84.7080633
D334849,27.4476988,82.3956245
D728012,17.166667,77.083333
D171615,23.6880057,84.4969551
497346,23.476254,82.4776374
D121313,22.2748109,79.7202522
D270808,23.7176393,80.2610181
848503,25.7747885,85.8672314
D262167,26.9986675,79.6927946
D686330,21.7392624,73.6262458
D269102,27.1837263,83.4917301
D469019,25.7499267,76.9212945
D851774,26.5673264,80.6198193
D280408,26.023639,83.0293105
768109,21.4477962,84.7174204
D516565,23.4915047,74.3502172
802136,25.5044834,84.1097525
465223,23.4171002,76.6074794
D502821,26.7155629,79.0917098
D124782,22.9281801,85.2814475
224122,26.4045941,82.6065154
495004,22.1638486,82.1365923
D505553,25.1812832,84.6596648
D841188,22.5198217,82.6350029
D734014,26.0712781,93.4552969
803120,25.211599,85.4484611
D853079,25.9214451,84.7759731
815315,24.3314546,86.1548117
D211490,25.75,81.75
D806886,18.0207297,77.2487204
229001,26.25,81.25
D350782,24.8173249,85.5179085
D148606,25.217139,81.1045927
D693397,19.8265757,83.0408702
754215,20.5475164,86.5296168
425409,21.5141622,74.5405513
D559316,34.4563234,74.6825
D889929,23.7981005,79.5419356
497116,22.9470108,83.1656868
D782578,27.4362003,79.4894778
262122,28.4947158,80.1076122
222501,26.9013312,81.2151601
D734885,23.6431837,80.9419078
243633,28.116667,78.983333
D815885,24.0232221,74.6250275
D167300,20.5326259,81.7155987
D712176,25.4438537,80.5595237
231310,24.9316896,82.6280163
D216230,25.0320437,87.691764
D932553,20.1306939,84.0790476
233001,25.6034863,83.5075888
D441711,25.125695,83.2494601
814133,24.8645886,87.2984838
460001,21.8797472,77.8753651
D492353,24.8033201,84.4110198
221201,25.3627897,82.6846939
D752523,24.1062316,84.8623379
D361537,26.6558215,79.5160757
394710,20.75,73.75
723101,23.333333,86.416667
D179875,24.6186095,77.8786983
