pincode,bank_branches_per_lakh,deposits_per_capita
517551,18.0,179847.0
517561,21.1,179847.0
517569,16.8,179847.0
517571,10.8,179847.0
517581,22.2,179847.0
517582,9.9,179847.0
517583,20.1,179847.0
517584,5.4,179847.0
517586,6.8,179847.0
517587,18.1,179847.0
517588,16.9,179847.0
517589,12.1,179847.0
517590,6.0,179847.0
517591,19.1,179847.0
517592,21.5,179847.0
517599,6.2,179847.0
517619,7.9,179847.0
517620,7.3,179847.0
517640,10.8,179847.0
517641,21.0,179847.0
517642,16.2,179847.0
517643,22.5,179847.0
517644,6.0,179847.0
517645,19.6,179847.0
518001,10.5,179847.0
518002,22.3,179847.0
518003,24.0,179847.0
518004,25.1,179847.0
518006,22.1,179847.0
518007,23.8,179847.0
518010,30.5,179847.0
518101,23.2,179847.0
518102,24.1,179847.0
518112,24.4,179847.0
518122,19.0,179847.0
518123,23.7,179847.0
518124,24.5,179847.0
518134,28.7,179847.0
518135,28.9,179847.0
518145,22.0,179847.0
518155,18.7,179847.0
518165,24.8,179847.0
518166,23.6,179847.0
518176,24.4,179847.0
518186,24.4,179847.0
518196,17.5,179847.0
518206,17.0,179847.0
518216,17.5,179847.0
518217,17.7,179847.0
518218,17.7,179847.0
518220,17.4,179847.0
518221,19.9,179847.0
518222,20.3,179847.0
518225,18.2,179847.0
518301,20.2,179847.0
518302,18.2,179847.0
518308,24.4,179847.0
518313,24.3,179847.0
518323,20.8,179847.0
518333,18.9,179847.0
518343,20.8,179847.0
518344,24.6,179847.0
518345,18.7,179847.0
518346,24.4,179847.0
518347,20.7,179847.0
518348,17.4,179847.0
518349,23.9,179847.0
518350,17.7,179847.0
518360,17.9,179847.0
518380,24.0,179847.0
518385,20.6,179847.0
518390,24.7,179847.0
518395,18.1,179847.0
518396,20.2,179847.0
518401,20.1,179847.0
518405,20.2,179847.0
518411,20.2,179847.0
518412,20.1,179847.0
518422,20.1,179847.0
518432,20.2,179847.0
518442,20.5,179847.0
518452,20.3,179847.0
518462,20.2,179847.0
518463,20.3,179847.0
