state,district,mpce_combined,mpce_rural,mpce_urban,mpce_p50,ppi_signal,survey_year,source
MAHARASHTRA,PARBHANI,4044.0,3922.0,4244.0,3366.0,11.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
CHHATTISGARH,BASTAR,4037.0,2730.0,6168.0,2944.0,11.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MAHARASHTRA,HINGOLI,4037.0,4010.0,5160.0,3491.0,11.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,KATIHAR,4023.0,3857.0,5244.0,3420.0,11.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
JAMMU AND KASHMIR,BARAMULA,4016.0,3955.0,4700.0,3332.0,11.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,SITAMARHI,4004.0,3991.0,4351.0,3464.0,11.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ODISHA,JAGATSINGHAPUR,3997.0,3807.0,5185.0,3456.0,11.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
JHARKHAND,GARHWA,3990.0,3769.0,5083.0,3376.0,11.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
CHHATTISGARH,RAJNANDGAON,3987.0,3310.0,7944.0,3236.0,11.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,MAU,3974.0,4003.0,3886.0,3382.0,11.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ASSAM,HAILAKANDI,3974.0,3588.0,6468.0,3282.0,11.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
WEST BENGAL,BARDDHAMAN,3968.0,3698.0,5730.0,3271.0,11.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,JAUNPUR,3962.0,3938.0,4527.0,3536.0,11.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,SHRAWASTI,3958.0,3958.0,0,3302.0,11.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ODISHA,DHENKANAL,3954.0,3656.0,5181.0,3083.0,10.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ODISHA,JAJAPUR,3949.0,3290.0,5987.0,3360.0,10.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,SIDHI,3947.0,3864.0,4567.0,3572.0,10.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,GAYA,3929.0,3611.0,5139.0,3073.0,10.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,KANSHIRAM NAGAR,3927.0,3698.0,5061.0,3447.0,10.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,ARARIA,3905.0,3774.0,6078.0,3367.0,10.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ODISHA,KORAPUT,3902.0,2842.0,5440.0,2887.0,10.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,SONBHADRA,3895.0,3187.0,6017.0,3219.0,10.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,FATEHPUR,3894.0,3499.0,5183.0,3301.0,10.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,KAIMUR (BHABUA),3891.0,3834.0,4795.0,3140.0,10.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,LALITPUR,3890.0,3903.0,3805.0,3397.0,10.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
JHARKHAND,LOHARDAGA,3890.0,3166.0,5501.0,3665.0,10.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
