pincode,per_capita_income_karnataka
573123,163973.66666666666
573124,163973.66666666666
573125,163973.66666666666
573126,163973.66666666666
573127,163973.66666666666
573128,163973.66666666666
573129,163973.66666666666
573130,163973.66666666666
573131,163973.66666666666
573133,163973.66666666666
573134,163973.66666666666
573135,163973.66666666666
573136,163973.66666666666
573137,163973.66666666666
573141,163973.66666666666
573142,163973.66666666666
573144,163973.66666666666
573150,163973.66666666666
573162,163973.66666666666
573164,163973.66666666666
573165,163973.66666666666
573201,163973.66666666666
573202,163973.66666666666
573210,163973.66666666666
573211,163973.66666666666
573212,163973.66666666666
573213,163973.66666666666
573214,163973.66666666666
573215,163973.66666666666
573216,163973.66666666666
573217,163973.66666666666
573218,163973.66666666666
573219,163973.66666666666
573220,163973.66666666666
573225,163973.66666666666
574101,303484.4285714286
574102,303484.4285714286
574103,303484.4285714286
574104,303484.4285714286
574105,303484.4285714286
574106,303484.4285714286
574107,303484.4285714286
574108,303484.4285714286
574109,347859.0
574110,303484.4285714286
574111,303484.4285714286
574112,303484.4285714286
574113,303484.4285714286
574114,303484.4285714286
574115,303484.4285714286
574116,303484.4285714286
574117,303484.4285714286
574118,303484.4285714286
574119,303484.4285714286
574122,303484.4285714286
574129,303484.4285714286
574141,347859.0
574142,347859.0
574143,347859.0
574144,347859.0
574145,347859.0
574146,347859.0
574148,347859.0
574150,347859.0
574151,347859.0
574153,347859.0
574154,347859.0
574197,347859.0
574198,347859.0
574199,347859.0
574201,347859.0
574202,347859.0
574203,347859.0
574210,347859.0
574211,347859.0
574212,347859.0
574213,347859.0
574214,347859.0
574216,347859.0
574217,347859.0
574218,347859.0
574219,347859.0
574220,347859.0
574221,347859.0
574222,347859.0
574223,347859.0
574224,347859.0
574225,347859.0
574226,347859.0
574227,347859.0
574228,347859.0
574229,347859.0
574230,347859.0
574231,347859.0
574232,347859.0
574233,347859.0
574234,347859.0
574235,347859.0
574236,347859.0
574237,347859.0
574238,347859.0
574239,347859.0
574240,347859.0
574241,347859.0
574242,347859.0
574243,347859.0
574244,303484.4285714286
574248,347859.0
574253,347859.0
574259,347859.0
574260,347859.0
574265,347859.0
574267,347859.0
574274,347859.0
574279,347859.0
574285,347859.0
574313,347859.0
574314,347859.0
574323,347859.0
574324,347859.0
574325,347859.0
574326,347859.0
574327,347859.0
574328,347859.0
574509,347859.0
575001,347859.0
575002,347859.0
575003,347859.0
575004,347859.0
575005,347859.0
575006,347859.0
575007,347859.0
575008,347859.0
575010,347859.0
575011,347859.0
575013,347859.0
575014,347859.0
575015,347859.0
575016,347859.0
575017,347859.0
575018,347859.0
575019,347859.0
575020,347859.0
575022,347859.0
575023,347859.0
575025,347859.0
575028,347859.0
575029,347859.0
575030,347859.0
576101,303484.4285714286
576102,303484.4285714286
576103,303484.4285714286
576104,303484.4285714286
576105,303484.4285714286
576106,303484.4285714286
576107,303484.4285714286
576108,303484.4285714286
576111,303484.4285714286
576112,303484.4285714286
576113,303484.4285714286
576114,303484.4285714286
576115,303484.4285714286
576117,303484.4285714286
576120,303484.4285714286
576121,303484.4285714286
576122,303484.4285714286
576124,303484.4285714286
576201,303484.4285714286
576210,303484.4285714286
576211,303484.4285714286
576212,303484.4285714286
576213,303484.4285714286
