pincode,district,psu_branch_count
412106,PUNE,3
412107,PUNE,3
412108,PUNE,5
412109,PUNE,3
412110,PUNE,3
412115,PUNE,1
412201,PUNE,5
412202,PUNE,6
412203,PUNE,6
412204,PUNE,1
412205,PUNE,3
412206,PUNE,6
412207,PUNE,13
412208,PUNE,6
412209,PUNE,5
412210,PUNE,9
412211,PUNE,3
412212,PUNE,1
412213,PUNE,2
412214,PUNE,2
412215,PUNE,1
412216,PUNE,2
412217,PUNE,1
412218,PUNE,3
412219,PUNE,2
412220,PUNE,3
412300,PUNE,1
412301,PUNE,7
412303,PUNE,3
412304,PUNE,1
412305,PUNE,1
412306,PUNE,3
412307,PUNE,4
412308,PUNE,3
412312,PUNE,1
412401,PUNE,1
412402,PUNE,2
412403,PUNE,2
412404,PUNE,1
412405,PUNE,1
412406,PUNE,1
412408,PUNE,1
412409,PUNE,4
412410,PUNE,3
412411,PUNE,6
412412,PUNE,2
413012,PUNE,1
413102,PUNE,20
413103,PUNE,3
413104,PUNE,3
413105,PUNE,4
413106,PUNE,7
413110,PUNE,1
413114,PUNE,4
413115,PUNE,1
413119,PUNE,1
413120,PUNE,1
413130,PUNE,3
413133,PUNE,3
413801,PUNE,6
413802,PUNE,2
000702,RAIGAD,1
400218,RAIGAD,1
400702,RAIGAD,11
400704,RAIGAD,2
400707,RAIGAD,5
402101,RAIGAD,2
402103,RAIGAD,4
402104,RAIGAD,5
402105,RAIGAD,4
402106,RAIGAD,4
402107,RAIGAD,24
402108,RAIGAD,4
402109,RAIGAD,5
402110,RAIGAD,6
402111,RAIGAD,2
402112,RAIGAD,2
402114,RAIGAD,1
402115,RAIGAD,1
402116,RAIGAD,3
402117,RAIGAD,2
402120,RAIGAD,2
402122,RAIGAD,1
402201,RAIGAD,11
402202,RAIGAD,4
402203,RAIGAD,4
402204,RAIGAD,2
